business_date,total_physical_rooms,ooo_rooms,available_rooms,room_nights,occupancy_rate,room_revenue,food_revenue,other_revenue,total_revenue,adr,revpar,cancelled_rooms,no_show_rooms,day_use_rooms,deduct_individual_rooms,deduct_group_rooms,retail_rate,medallia_sample_size,medallia_overall_satisfaction,medallia_likelihood_to_recommend,medallia_likelihood_to_return,medallia_value_for_price,medallia_hotel_cleanliness,day_of_week,day_name,month,month_name,quarter,week_of_year,is_weekend,temp_mean_f,temp_max_f,temp_min_f,precipitation_in,had_precipitation,snowfall_in,had_snow,windspeed_max_mph,weathercode,weather_description,is_federal_holiday,holiday_name,event_count,is_major_event_day,is_barclays_event,is_msg_event,is_yankees_game,is_mets_game,is_knicks_game,is_nets_game,is_rangers_game,is_nba_game,is_mlb_game,is_nhl_game,is_us_open_event,is_brooklyn_music_event,is_major_concert,is_major_sports_event,days_to_next_event,comp_occ,comp_adr,comp_revpar,mpi,ari,rgi
2024-01-01,147,29,118,72,0.6102,17535.649999999998,2000.85,5268.08,24804.579999999998,243.55,148.61,6,2,2,69,3,668,12.0,7.3,7.7,,6.2,8.2,0,Monday,1,January,1,1,False,38.1,45.2,32.7,0.004,True,0.028,True,9.3,71,Slight snow,True,New Year's Day,1,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,0,0.7753,222.07,172.17,88.62,99.63,88.29
2024-01-02,147,37,110,46,0.4182,8968.3,619.65,5038.1900000000005,14626.14,194.96,81.53,1,1,1,44,2,668,12.0,7.3,7.7,,6.2,8.2,1,Tuesday,1,January,1,1,False,31.9,41.9,24.0,0.0,False,0.0,False,8.1,0,Clear sky,False,,1,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,0,0.7135,205.9,146.92,97.25,82.44,80.17
2024-01-03,147,28,119,56,0.4706,9069.37,555.64,15763.54,25388.550000000003,161.95,76.21,6,0,1,51,5,668,12.0,7.3,7.7,,6.2,8.2,2,Wednesday,1,January,1,1,False,34.7,45.6,28.2,0.0,False,0.0,False,9.7,3,Overcast,False,,1,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,0,0.7438,227.91,169.51,105.18,86.92,91.43
2024-01-04,147,25,122,64,0.5246,11145.38,377.35,3053.15,14575.88,174.15,91.36,6,1,0,57,7,587,12.0,7.3,7.7,,6.2,8.2,3,Thursday,1,January,1,1,False,35.3,44.1,28.1,0.0,False,0.0,False,16.5,3,Overcast,False,,1,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,0,0.6873,214.27,147.26,112.83,85.8,96.82
2024-01-05,147,32,115,85,0.7391,14944.68,1301.55,3396.73,19642.96,175.82,129.95,9,1,0,79,6,587,12.0,7.3,7.7,,6.2,8.2,4,Friday,1,January,1,1,False,28.7,37.1,22.5,0.0,False,0.0,False,13.7,3,Overcast,False,,1,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,0,0.4402,182.28,80.24,109.72,78.0,85.58
2024-01-06,147,37,110,75,0.6818,14423.5,1911.75,3504.87,19840.12,192.31,131.12,8,2,0,70,5,587,12.0,7.3,7.7,,6.2,8.2,5,Saturday,1,January,1,1,True,30.4,37.3,23.1,0.386,True,1.24,True,18.5,75,Heavy snow,False,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0.4599,186.32,85.69,106.5,80.02,85.23
2024-01-07,147,34,113,44,0.3894,6955.31,557.47,1296.58,8809.36,158.08,61.55,1,1,1,39,5,587,9.0,10.0,10.0,,9.3,9.8,6,Sunday,1,January,1,1,True,35.2,37.6,30.9,0.295,True,0.331,True,18.3,73,Snow,False,,1,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,0,0.5782,195.02,112.76,77.65,88.13,68.44
2024-01-08,147,30,117,56,0.4786,9447.65,691.82,1310.02,11449.49,168.71,80.75,4,0,0,45,11,709,9.0,10.0,10.0,,9.3,9.8,0,Monday,1,January,1,2,False,34.6,43.3,28.0,0.0,False,0.0,False,10.8,1,Mainly clear,False,,1,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,0,0.6294,185.29,116.63,76.74,73.52,56.42
2024-01-09,147,30,117,66,0.5641,11503.89,1402.9099999999999,1505.38,14412.18,174.3,98.32,7,0,0,45,21,455,9.0,10.0,10.0,,9.3,9.8,1,Tuesday,1,January,1,2,False,38.7,55.2,24.4,1.165,True,0.0,False,37.6,63,Rain,False,,1,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,0,0.6294,199.54,125.6,81.06,84.55,68.53
2024-01-10,147,50,97,65,0.6701,11928.89,1197.86,1583.1,14709.85,183.52,122.98,3,0,0,46,19,455,9.0,10.0,10.0,,9.3,9.8,2,Wednesday,1,January,1,2,False,48.5,56.4,40.8,1.488,True,0.0,False,30.6,65,Heavy rain,False,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,0.8108,254.88,206.65,74.67,89.46,66.8
