property,business_date,market_code,rate_code,cancelled_rooms,day_use_rooms,no_show_rooms,deduct_individual_rooms,deduct_group_rooms,room_nights,adr,room_revenue,food_revenue,other_revenue,total_revenue
WBURG,2024-01-01,CO,COCOMP,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,CO,HOUSE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-203.0,-203.0
WBURG,2024-01-01,GC,,0.0,0.0,1.0,0.0,2.0,2.0,139.0,278.0,0.0,0.0,278.0
WBURG,2024-01-01,GE,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,GS,,0.0,0.0,0.0,0.0,1.0,1.0,339.0,339.0,5.0,56.0,400.0
WBURG,2024-01-01,HSE,HOUSE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,NG,NGSEABORNE,0.0,0.0,0.0,4.0,0.0,4.0,285.0,1140.0,275.45,1078.0,2493.45
WBURG,2024-01-01,OTA,OPHOPO,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,OTA,OTBKBR,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,OTA,OTBKCN,0.0,0.0,0.0,8.0,0.0,8.0,169.3975,1355.18,64.18,207.84,1627.2
WBURG,2024-01-01,OTA,OTBKCR,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,OTA,OTBKLR,0.0,0.0,0.0,3.0,0.0,3.0,159.65,478.95,0.0,150.0,628.95
WBURG,2024-01-01,OTA,OTBKPR1,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,OTA,OTBKPR2,0.0,1.0,0.0,1.0,0.0,1.0,715.59,715.59,40.6,485.5,1241.69
WBURG,2024-01-01,OTA,OTEXHB,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.92,0.0,9.92
WBURG,2024-01-01,OTA,OTEXHC,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,OTA,OTEXHL,0.0,0.0,0.0,1.0,0.0,1.0,175.2,175.2,0.0,29.0,204.2
WBURG,2024-01-01,OTA,OTEXPN,0.0,0.0,0.0,4.0,0.0,4.0,291.34,1165.36,0.0,114.0,1279.36
WBURG,2024-01-01,OTA,OTEXPP,0.0,0.0,0.0,3.0,0.0,3.0,190.1033333,570.31,21.78,484.75,1076.84
WBURG,2024-01-01,OTA,OTEXPR,0.0,0.0,0.0,2.0,0.0,2.0,192.42,384.84,0.0,58.0,442.84
WBURG,2024-01-01,OTA,OTEXPRH1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,75.0,75.0
WBURG,2024-01-01,OTA,OTEXPRH2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,OTA,OTHTL2X,1.0,1.0,0.0,16.0,0.0,16.0,179.359375,2869.75,670.5,522.99,4063.24
WBURG,2024-01-01,OTA,OTPRCE,0.0,0.0,0.0,1.0,0.0,1.0,205.79,205.79,0.0,19.01,224.8
WBURG,2024-01-01,OTA,WHBEDR,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,RA,RABAR,0.0,0.0,0.0,6.0,0.0,6.0,341.2166667,2047.3,52.66,214.0,2313.96
WBURG,2024-01-01,RA,SPBACK,1.0,0.0,0.0,6.0,0.0,6.0,231.8333333,1391.0,477.8,268.99,2137.79
WBURG,2024-01-01,SP,IYCBIONDO,0.0,0.0,0.0,1.0,0.0,1.0,281.4,281.4,52.46,28.0,361.86
WBURG,2024-01-01,SP,SPADVD,0.0,0.0,0.0,2.0,0.0,2.0,266.64,533.28,37.2,940.0,1510.48
WBURG,2024-01-01,SP,SPBACK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,SP,SPCYBR,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,SP,SPEMPL,0.0,0.0,0.0,1.0,0.0,1.0,149.0,149.0,0.0,0.0,149.0
WBURG,2024-01-01,SP,SPMILT,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,SP,SPMORE,0.0,0.0,0.0,6.0,0.0,6.0,430.4833333,2582.9,192.3,171.0,2946.2
WBURG,2024-01-01,SP,SPTRVL,0.0,0.0,0.0,2.0,0.0,2.0,257.4,514.8,101.0,308.0,923.8
WBURG,2024-01-01,SP,SPWISL,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,WH,WHBEDR,0.0,0.0,0.0,1.0,0.0,1.0,179.0,179.0,0.0,29.0,208.0
WBURG,2024-01-01,WH,WHWEB,0.0,0.0,0.0,1.0,0.0,1.0,179.0,179.0,0.0,29.0,208.0
WBURG,2024-01-01,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-02,CO,HOUSE,0.0,0.0,0.0,0.0,0.0,0.0,,-1591.94,0.0,0.0,-1591.94
WBURG,2024-01-02,CS,CSCAPONE,0.0,0.0,0.0,1.0,0.0,1.0,159.0,159.0,0.0,24.0,183.0
WBURG,2024-01-02,GC,,0.0,0.0,0.0,0.0,2.0,2.0,139.0,278.0,0.0,139.0,417.0
WBURG,2024-01-02,GE,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-02,GS,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,72.0,60.0,132.0
WBURG,2024-01-02,HSE,HOUSE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-02,NG,AMB527,0.0,0.0,0.0,1.0,0.0,1.0,184.0,184.0,0.0,0.0,184.0
WBURG,2024-01-02,NG,NGASFC,,,,,0.0,,,0.0,0.0,167.0,167.0
WBURG,2024-01-02,NG,NGRYAN,,,,,0.0,,,0.0,0.0,30.0,30.0
WBURG,2024-01-02,NG,NGSEABORNE,0.0,0.0,0.0,1.0,0.0,1.0,223.0,223.0,116.6,125.0,464.6
WBURG,2024-01-02,OTA,OPHOPO,,,,,0.0,,,0.0,0.0,75.0,75.0
WBURG,2024-01-02,OTA,OTBKCN,0.0,0.0,0.0,5.0,0.0,5.0,152.056,760.28,12.8,273.1,1046.18
WBURG,2024-01-02,OTA,OTBKCR,0.0,1.0,0.0,0.0,0.0,0.0,,260.1,0.0,302.1,562.2
WBURG,2024-01-02,OTA,OTBKLR,0.0,0.0,0.0,3.0,0.0,3.0,152.36,457.08,0.0,150.0,607.08
WBURG,2024-01-02,OTA,OTBKPR1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-02,OTA,OTBKPR2,1.0,0.0,0.0,2.0,0.0,2.0,192.195,384.39,0.0,62.0,446.39
WBURG,2024-01-02,OTA,OTEXHB,,,,,0.0,,,0.0,0.0,35.0,35.0
WBURG,2024-01-02,OTA,OTEXHC,0.0,0.0,0.0,1.0,0.0,1.0,503.1,503.1,0.0,29.0,532.1
WBURG,2024-01-02,OTA,OTEXHL,0.0,0.0,0.0,1.0,0.0,1.0,167.2,167.2,0.0,29.0,196.2
WBURG,2024-01-02,OTA,OTEXPN,0.0,0.0,0.0,6.0,0.0,6.0,223.595,1341.57,0.0,468.0,1809.57
WBURG,2024-01-02,OTA,OTEXPP,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-5.15,146.0,140.85
WBURG,2024-01-02,OTA,OTEXPR,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,61.2,98.0,159.2
WBURG,2024-01-02,OTA,OTEXPRH1,,,,,0.0,,,0.0,0.0,-5.0,-5.0
WBURG,2024-01-02,OTA,OTHTL2X,0.0,0.0,0.0,5.0,0.0,5.0,135.62,678.1,146.6,723.99,1548.69
WBURG,2024-01-02,OTA,OTPRCE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,42.0,42.0
WBURG,2024-01-02,RA,MASTER,,,,,0.0,,,0.0,0.0,0.0,0.0
WBURG,2024-01-02,RA,RABAR,0.0,0.0,0.0,1.0,0.0,1.0,209.0,209.0,125.88,367.0,701.88
WBURG,2024-01-02,RA,SPBACK,0.0,0.0,1.0,4.0,0.0,4.0,289.25,1157.0,8.0,1029.0,2194.0
WBURG,2024-01-02,SP,IYCBIONDO,0.0,0.0,0.0,1.0,0.0,1.0,215.4,215.4,0.0,28.0,243.4
WBURG,2024-01-02,SP,SPADVD,0.0,0.0,0.0,2.0,0.0,2.0,205.04,410.08,0.0,174.0,584.08
WBURG,2024-01-02,SP,SPBACK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,60.0,60.0
WBURG,2024-01-02,SP,SPCYBR,,,,,0.0,,,0.0,0.0,19.0,19.0
WBURG,2024-01-02,SP,SPEMPL,0.0,0.0,0.0,1.0,0.0,1.0,149.0,149.0,0.0,0.0,149.0
WBURG,2024-01-02,SP,SPMORE,0.0,0.0,0.0,4.0,0.0,4.0,199.65,798.6,44.72,225.0,1068.32
WBURG,2024-01-02,SP,SPTRVL,0.0,0.0,0.0,1.0,0.0,1.0,197.4,197.4,0.0,49.0,246.4
