property,business_date,room_type,total_physical_rooms,ooo_rooms,cancelled_rooms,day_use_rooms,no_show_rooms,deduct_individual_rooms,deduct_group_rooms,room_nights,adr,room_revenue,food_revenue,other_revenue,total_revenue
WBURG,2024-01-01,CVQ,24,7,0,2,1,11,0,11,252.610909090909,2778.72,379.02,839.96,3997.7
WBURG,2024-01-01,LS,1,0,0,0,0,1,0,1,319.67,319.67,0.0,820.0,1139.67
WBURG,2024-01-01,PKT,24,3,4,0,1,12,1,13,230.4,2995.2,376.62,1457.0,4828.82
WBURG,2024-01-01,PLS,2,0,0,0,0,2,0,2,545.43,1090.86,0.0,85.0,1175.86
WBURG,2024-01-01,PQT,31,9,1,0,0,12,0,12,188.585,2263.02,421.73,398.0,3082.75
WBURG,2024-01-01,PSS,3,0,0,0,0,2,0,2,793.175,1586.35,187.3,56.0,1829.65
WBURG,2024-01-01,Q,18,5,1,0,0,10,2,12,174.3525,2092.23,40.6,308.0,2440.83
WBURG,2024-01-01,QT,19,5,0,0,0,8,0,8,161.9175,1295.34,91.58,348.71,1735.63
WBURG,2024-01-01,QTRS,7,0,0,0,0,3,0,3,263.39,790.17,0.0,85.0,875.17
WBURG,2024-01-01,SKT,16,0,0,0,0,6,0,6,230.231666666667,1381.39,383.0,583.41,2347.8
WBURG,2024-01-01,SS,1,0,0,0,0,1,0,1,685.3,685.3,20.0,28.0,733.3
WBURG,2024-01-01,SSRS,1,0,0,0,0,1,0,1,257.4,257.4,101.0,259.0,617.4
WBURG,2024-01-02,CVQ,24,9,0,0,0,7,0,7,155.235714285714,1086.65,55.6,604.08,1746.33
WBURG,2024-01-02,LS,1,0,0,0,0,1,0,1,307.4,307.4,0.0,28.0,335.4
WBURG,2024-01-02,PKT,24,7,0,1,0,6,0,6,231.491666666667,1388.95,84.65,651.86,2125.46
WBURG,2024-01-02,PLS,2,0,0,0,0,2,0,2,457.77,915.54,0.0,179.0,1094.54
WBURG,2024-01-02,PQT,31,9,0,0,0,8,0,8,169.2925,1354.34,72.72,1021.94,2449.0
WBURG,2024-01-02,PSS,3,0,0,0,0,3,0,3,312.643333333333,937.93,8.0,1001.0,1946.93
WBURG,2024-01-02,Q,18,9,1,0,0,7,1,8,145.4875,1163.9,119.2,741.0,2024.1
WBURG,2024-01-02,QT,19,2,0,0,0,7,0,7,152.884285714286,1070.19,124.48,394.31,1588.98
WBURG,2024-01-02,QTRS,7,1,0,0,0,0,0,0,,0.0,0.0,42.0,42.0
WBURG,2024-01-02,SKT,16,0,0,0,0,3,1,4,185.85,743.4,116.6,369.0,1229.0
WBURG,2024-01-02,SS,1,0,0,0,1,0,0,0,,0.0,38.4,6.0,44.4
WBURG,2024-01-02,SSRS,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0
WBURG,2024-01-03,CVQ,24,7,0,0,0,6,0,6,76.97,461.82,138.82,1659.42,2260.06
WBURG,2024-01-03,LS,1,0,0,0,0,1,0,1,307.4,307.4,36.4,28.0,371.8
WBURG,2024-01-03,PKT,24,6,0,0,0,6,1,7,182.032857142857,1274.23,76.2,2979.63,4330.06
WBURG,2024-01-03,PLS,2,0,0,0,0,2,0,2,303.055,606.11,34.0,4244.16,4884.27
WBURG,2024-01-03,PQT,31,11,0,0,0,7,0,7,153.914285714286,1077.4,9.0,2737.9,3824.3
WBURG,2024-01-03,PSS,3,0,0,0,0,2,0,2,308.805,617.61,0.0,327.0,944.61
WBURG,2024-01-03,Q,18,2,2,1,0,10,2,12,141.563333333333,1698.76,0.0,798.78,2497.54
WBURG,2024-01-03,QT,19,0,3,0,0,11,1,12,156.538333333333,1878.46,60.46,777.36,2716.28
WBURG,2024-01-03,QTRS,7,1,0,0,0,1,0,1,197.1,197.1,0.0,55.99,253.09
WBURG,2024-01-03,SKT,16,1,1,0,0,4,1,5,168.548,842.74,0.0,120.0,962.74
WBURG,2024-01-03,SS,1,0,0,0,0,1,0,1,107.74,107.74,200.76,1078.0,1386.5
WBURG,2024-01-03,SSRS,1,0,0,0,0,0,0,0,,0.0,0.0,957.3,957.3
WBURG,2024-01-04,CVQ,24,7,0,0,1,8,0,8,144.8175,1158.54,35.24,40.75,1234.53
WBURG,2024-01-04,LS,1,0,0,0,0,1,0,1,307.4,307.4,0.0,28.0,335.4
WBURG,2024-01-04,PKT,24,6,0,0,0,8,1,9,176.601111111111,1589.41,127.51,470.21,2187.13
WBURG,2024-01-04,PLS,2,0,0,0,0,2,0,2,344.07,688.14,0.0,247.0,935.14
WBURG,2024-01-04,PQT,31,9,0,0,0,12,0,12,160.7,1928.4,7.0,608.12,2543.52
WBURG,2024-01-04,PSS,3,0,1,0,0,2,0,2,442.54,885.08,0.0,420.0,1305.08
WBURG,2024-01-04,Q,18,0,4,0,0,10,4,14,118.672857142857,1661.42,46.2,559.0,2266.62
WBURG,2024-01-04,QT,19,1,0,0,0,5,1,6,149.978333333333,899.87,25.0,216.0,1140.87
WBURG,2024-01-04,QTRS,7,1,0,0,0,0,0,0,,0.0,0.0,99.0,99.0
WBURG,2024-01-04,SKT,16,1,0,0,0,9,1,10,202.712,2027.12,136.4,356.07,2519.59
WBURG,2024-01-04,SS,1,0,1,0,0,0,0,0,,0.0,0.0,9.0,9.0
WBURG,2024-01-04,SSRS,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0
WBURG,2024-01-05,CVQ,24,8,1,0,0,14,0,14,164.521428571429,2303.3,86.57,580.76,2970.63
WBURG,2024-01-05,LS,1,0,0,0,0,0,0,0,,0.0,0.0,6.0,6.0
WBURG,2024-01-05,PKT,24,8,0,0,0,9,0,9,236.825555555556,2131.43,404.06,267.99,2803.48
WBURG,2024-01-05,PLS,2,0,0,0,0,1,0,1,207.43,207.43,0.0,184.0,391.43
WBURG,2024-01-05,PQT,31,10,0,0,1,16,0,16,205.995625,3295.93,296.34,579.99,4172.26
WBURG,2024-01-05,PSS,3,1,1,0,0,1,0,1,215.0,215.0,0.0,334.0,549.0
WBURG,2024-01-05,Q,18,0,5,0,0,14,4,18,120.745,2173.41,138.46,344.0,2655.87
WBURG,2024-01-05,QT,19,1,0,0,0,16,1,17,153.400588235294,2607.81,160.69,731.99,3500.49
WBURG,2024-01-05,QTRS,7,2,1,0,0,0,0,0,,0.0,0.0,0.0,0.0
WBURG,2024-01-05,SKT,16,2,0,0,0,8,1,9,223.374444444444,2010.37,215.43,368.0,2593.8
WBURG,2024-01-05,SS,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0
WBURG,2024-01-05,SSRS,1,0,1,0,0,0,0,0,,0.0,0.0,0.0,0.0
WBURG,2024-01-06,CVQ,24,9,0,0,0,11,0,11,153.271818181818,1685.99,293.09,424.0,2403.08
WBURG,2024-01-06,LS,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0
WBURG,2024-01-06,PKT,24,10,0,0,0,8,0,8,225.37625,1803.01,274.75,228.42,2306.18
WBURG,2024-01-06,PLS,2,1,0,0,0,1,0,1,257.56,257.56,0.0,179.0,436.56
WBURG,2024-01-06,PQT,31,11,1,0,0,11,0,11,194.904545454545,2143.95,638.19,1165.45,3947.59
WBURG,2024-01-06,PSS,3,1,0,0,1,1,0,1,562.52,562.52,0.0,29.0,591.52
WBURG,2024-01-06,Q,18,1,4,0,0,11,3,14,128.482857142857,1798.76,46.34,390.0,2235.1
