property,business_date,origin_code,source_code,cancelled_rooms,day_use_rooms,no_show_rooms,deduct_individual_rooms,deduct_group_rooms,room_nights,adr,room_revenue,food_revenue,other_revenue,total_revenue
WBURG,2024-01-01,CRS,CALL,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,CRS,FD,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,NG,EBL,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,75.0,75.0
WBURG,2024-01-01,NG,EXEC,0.0,0.0,0.0,1.0,0.0,1.0,149.0,149.0,0.0,0.0,149.0
WBURG,2024-01-01,NG,FD,0.0,0.0,0.0,2.0,0.0,2.0,234.0,468.0,0.0,58.0,526.0
WBURG,2024-01-01,NG,GTA,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,NG,INP,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,NG,MOBILE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,NG,SLS,0.0,0.0,0.0,2.0,0.0,2.0,367.0,734.0,193.73,1078.0,2005.73
WBURG,2024-01-01,NG,WEBBOOK,0.0,0.0,1.0,0.0,2.0,2.0,139.0,278.0,0.0,0.0,278.0
WBURG,2024-01-01,NG,WHLS,0.0,0.0,0.0,2.0,0.0,2.0,179.0,358.0,0.0,-145.0,213.0
WBURG,2024-01-01,PHONE,FD,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,PMS,EBL,0.0,0.0,0.0,2.0,0.0,2.0,520.15,1040.3,20.0,56.0,1116.3
WBURG,2024-01-01,PMS,WEBSITE,0.0,0.0,0.0,0.0,1.0,1.0,339.0,339.0,5.0,0.0,344.0
WBURG,2024-01-01,TEL,EBL,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,TEL,FD,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,WEB,EBL,0.0,0.0,0.0,5.0,0.0,5.0,247.808,1239.04,207.96,1256.0,2703.0
WBURG,2024-01-01,WEB,WEBSITE,1.0,0.0,0.0,14.0,0.0,14.0,323.238571428571,4525.34,472.68,538.0,5536.02
WBURG,2024-01-01,,EBL,1.0,1.0,0.0,18.0,0.0,18.0,186.319444444444,3353.75,965.0,600.98,4919.73
WBURG,2024-01-01,,EXTRA,4.0,1.0,1.0,23.0,0.0,23.0,219.618260869565,5051.22,136.48,1548.1,6735.8
WBURG,2024-01-01,,INP,,,,,0.0,,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,,SLS,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,,WEBBOOK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,,WEBSITE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-01,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-02,CRS,CALL,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-02,CRS,FD,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
WBURG,2024-01-02,NG,EBL,,,,,0.0,,,0.0,0.0,-5.0,-5.0
WBURG,2024-01-02,NG,EVENTS,,,,,0.0,,,0.0,0.0,0.0,0.0
WBURG,2024-01-02,NG,EXEC,0.0,0.0,0.0,1.0,0.0,1.0,149.0,149.0,0.0,0.0,149.0
