week_date,metric,score
2023-12-31,Bar staff service,8.7
2023-12-31,Cleanliness,
2023-12-31,Efficiency of check-in process,8.3
2023-12-31,Hotel cleanliness,8.2
2023-12-31,Knowledge of front desk staff,7.8
2023-12-31,Likelihood To Recommend,7.7
2023-12-31,Likelihood to Recommend,16.7
2023-12-31,Likelihood to Return,
2023-12-31,Location,5.0
2023-12-31,Overall Satisfaction with Service,7.3
2023-12-31,Overall Score,3.0
2023-12-31,Overall arrival experience,8.0
2023-12-31,Overall bar experience,8.2
2023-12-31,Overall departure experience,8.2
2023-12-31,Overall experience,
2023-12-31,Overall food & beverage,6.6
2023-12-31,Overall guest room,7.6
2023-12-31,Overall guest room cleanliness,7.5
2023-12-31,Overall meeting and event experience,
2023-12-31,Overall restaurant experience,
2023-12-31,Quality of food and beverage,7.8
2023-12-31,Restaurant staff service,
2023-12-31,Rooms,
2023-12-31,Sample Size (Red = less than 75),12.0
2023-12-31,Sample size,11.0
2023-12-31,Service,5.0
2023-12-31,Sleep Quality,
2023-12-31,Staff service,
2023-12-31,Value,5.0
2023-12-31,Value for Price,6.2
2023-12-31,Working order of hotel amenities,7.3
2024-01-07,Bar staff service,8.3
2024-01-07,Cleanliness,
2024-01-07,Efficiency of check-in process,10.0
2024-01-07,Hotel cleanliness,9.8
2024-01-07,Knowledge of front desk staff,9.9
2024-01-07,Likelihood To Recommend,10.0
2024-01-07,Likelihood to Recommend,100.0
2024-01-07,Likelihood to Return,
2024-01-07,Location,4.6
2024-01-07,Overall Satisfaction with Service,10.0
2024-01-07,Overall Score,4.3
2024-01-07,Overall arrival experience,9.9
2024-01-07,Overall bar experience,9.3
2024-01-07,Overall departure experience,9.8
2024-01-07,Overall experience,
2024-01-07,Overall food & beverage,8.7
2024-01-07,Overall guest room,8.9
2024-01-07,Overall guest room cleanliness,9.6
2024-01-07,Overall meeting and event experience,
2024-01-07,Overall restaurant experience,
2024-01-07,Quality of food and beverage,9.0
2024-01-07,Restaurant staff service,
2024-01-07,Rooms,
2024-01-07,Sample Size (Red = less than 75),9.0
2024-01-07,Sample size,29.0
2024-01-07,Service,4.7
2024-01-07,Sleep Quality,
2024-01-07,Staff service,
2024-01-07,Value,4.2
2024-01-07,Value for Price,9.3
2024-01-07,Working order of hotel amenities,9.0
2024-01-14,Bar staff service,10.0
2024-01-14,Cleanliness,
2024-01-14,Efficiency of check-in process,9.1
2024-01-14,Hotel cleanliness,8.3
2024-01-14,Knowledge of front desk staff,8.4
2024-01-14,Likelihood To Recommend,7.3
2024-01-14,Likelihood to Recommend,20.0
2024-01-14,Likelihood to Return,7.5
2024-01-14,Location,4.3
2024-01-14,Overall Satisfaction with Service,7.5
2024-01-14,Overall Score,4.6
2024-01-14,Overall arrival experience,8.6
2024-01-14,Overall bar experience,9.5
2024-01-14,Overall departure experience,8.9
2024-01-14,Overall experience,0.0
2024-01-14,Overall food & beverage,7.8
2024-01-14,Overall guest room,7.4
2024-01-14,Overall guest room cleanliness,7.3
2024-01-14,Overall meeting and event experience,
2024-01-14,Overall restaurant experience,5.8
2024-01-14,Quality of food and beverage,9.8
2024-01-14,Restaurant staff service,7.5
2024-01-14,Rooms,
2024-01-14,Sample Size (Red = less than 75),15.0
2024-01-14,Sample size,18.0
2024-01-14,Service,5.0
2024-01-14,Sleep Quality,
2024-01-14,Staff service,3.0
2024-01-14,Value,5.0
2024-01-14,Value for Price,7.3
2024-01-14,Working order of hotel amenities,7.4
2024-01-21,Bar staff service,
2024-01-21,Cleanliness,
2024-01-21,Efficiency of check-in process,
2024-01-21,Hotel cleanliness,8.4
2024-01-21,Knowledge of front desk staff,
2024-01-21,Likelihood To Recommend,5.9
2024-01-21,Likelihood to Recommend,-33.3
2024-01-21,Likelihood to Return,5.2
2024-01-21,Location,
2024-01-21,Overall Satisfaction with Service,6.8
2024-01-21,Overall Score,4.7
2024-01-21,Overall arrival experience,8.2
2024-01-21,Overall bar experience,
2024-01-21,Overall departure experience,7.9
2024-01-21,Overall experience,6.0
2024-01-21,Overall food & beverage,8.5
2024-01-21,Overall guest room,
2024-01-21,Overall guest room cleanliness,
2024-01-21,Overall meeting and event experience,
2024-01-21,Overall restaurant experience,8.0
2024-01-21,Quality of food and beverage,
2024-01-21,Restaurant staff service,7.3
2024-01-21,Rooms,
2024-01-21,Sample Size (Red = less than 75),12.0
2024-01-21,Sample size,15.0
2024-01-21,Service,
