modified_date,modified_user,segment,rate_codes,new_rate,new_rate_sent,old_rate,old_rate_sent,rate_change
2024-12-31 08:45:51.813,Daniel Parker,Retail,MASTER,579,579,579.0,579.0,0.0
2024-12-30 09:04:40.106,Daniel Parker,Retail,MASTER,579,579,609.0,609.0,-30.0
2024-12-29 09:52:10.928,Daniel Parker,Retail,MASTER,609,609,609.0,609.0,0.0
2024-12-28 07:43:54.253,Daniel Parker,Retail,MASTER,609,609,619.0,619.0,-10.0
2024-12-27 08:00:25.604,Daniel Parker,Retail,MASTER,619,619,639.0,639.0,-20.0
2024-12-26 08:38:31.929,Daniel Parker,Retail,MASTER,639,639,599.0,599.0,40.0
2024-12-24 08:43:02.475,Daniel Parker,Retail,MASTER,599,599,559.0,559.0,40.0
2024-12-23 08:16:32.766,Daniel Parker,Retail,MASTER,559,559,529.0,529.0,30.0
2024-12-20 09:03:02.981,Daniel Parker,Retail,MASTER,529,529,549.0,549.0,-20.0
2024-12-19 11:21:43.217,Daniel Parker,Retail,MASTER,549,549,659.0,659.0,-110.0
2024-12-19 07:37:13.587,Daniel Parker,Retail,MASTER,659,659,699.0,699.0,-40.0
2024-12-18 08:38:03.237,Daniel Parker,Retail,MASTER,699,699,749.0,749.0,-50.0
2024-12-17 08:27:20.458,Daniel Parker,Retail,MASTER,749,749,749.0,749.0,0.0
2024-12-16 11:41:20.458,Daniel Parker,Retail,MASTER,749,749,749.0,749.0,0.0
2024-12-12 09:06:53.489,Daniel Parker,Retail,MASTER,749,749,749.0,749.0,0.0
2024-12-10 10:34:59.951,Minerva Duran,Retail,MASTER,749,749,749.0,749.0,0.0
2024-12-09 10:29:21.615,Daniel Parker,Retail,MASTER,749,749,749.0,749.0,0.0
2024-12-06 08:08:18.863,Daniel Parker,Retail,MASTER,749,749,759.0,759.0,-10.0
2024-12-05 10:52:29.972,Daniel Parker,Retail,MASTER,759,759,829.0,829.0,-70.0
2024-11-29 09:04:29.082,Daniel Parker,Retail,MASTER,829,829,829.0,829.0,0.0
2024-11-27 08:15:16.150,Daniel Parker,Retail,MASTER,829,829,849.0,849.0,-20.0
2024-11-26 08:36:41.821,Daniel Parker,Retail,MASTER,849,849,899.0,899.0,-50.0
2024-11-20 08:48:43.012,Daniel Parker,Retail,MASTER,899,899,799.0,799.0,100.0
2024-11-18 08:51:40.643,Daniel Parker,Retail,MASTER,799,799,799.0,799.0,0.0
2024-11-11 09:11:12.110,Daniel Parker,Retail,MASTER,799,799,749.0,749.0,50.0
2024-10-21 09:46:24.008,Daniel Parker,Retail,MASTER,749,749,799.0,799.0,-50.0
2024-10-18 22:49:00.767,Admin Arlo Hotels,Retail,MASTER,799,799,799.0,799.0,0.0
2024-10-01 13:36:55.674,Admin Arlo Hotels,Retail,MASTER,799,799,799.0,799.0,0.0
2024-09-24 04:30:31.922,Admin Arlo Hotels,Retail,MASTER,799,799,799.0,799.0,0.0
2024-09-18 12:03:59.872,Daniel Parker,Retail,MASTER,799,799,599.0,599.0,200.0
2024-09-17 22:57:29.873,Admin Arlo Hotels,Retail,MASTER,599,599,599.0,599.0,0.0
2024-09-17 09:08:18.499,Admin Arlo Hotels,Retail,MASTER,599,599,599.0,599.0,0.0
2024-09-06 13:36:06.371,Admin Arlo Hotels,Retail,MASTER,599,599,599.0,599.0,0.0
2024-08-26 12:06:30.668,Admin Arlo Hotels,Retail,MASTER,599,599,599.0,599.0,0.0
