business_date,demand,supply,revenue,comp_set_demand,comp_set_supply,comp_set_revenue,str_occ,str_adr,str_revpar,comp_occ,comp_adr,comp_revpar,mpi,ari,rgi
2024-01-01,101,147,22346,590,761,131020.0,0.6871,221.25,152.01,0.7753,222.07,172.17,88.62,99.63,88.29
2024-01-02,102,147,17315,543,761,111804.0,0.6939,169.75,117.79,0.7135,205.9,146.92,97.25,82.44,80.17
2024-01-03,115,147,22782,566,761,128999.0,0.7823,198.1,154.98,0.7438,227.91,169.51,105.18,86.92,91.43
2024-01-04,114,147,20959,523,761,112062.0,0.7755,183.85,142.58,0.6873,214.27,147.26,112.83,85.8,96.82
2024-01-05,71,147,10094,335,761,61063.0,0.483,142.17,68.67,0.4402,182.28,80.24,109.72,78.0,85.58
2024-01-06,72,147,10735,350,761,65213.2,0.4898,149.1,73.03,0.4599,186.32,85.69,106.5,80.02,85.23
2024-01-07,66,147,11344,440,761,85808.6,0.449,171.88,77.17,0.5782,195.02,112.76,77.65,88.13,68.44
2024-01-08,71,147,9672,479,761,88756.3,0.483,136.23,65.8,0.6294,185.29,116.63,76.74,73.52,56.42
2024-01-09,75,147,12653,479,761,95581.2,0.5102,168.71,86.07,0.6294,199.54,125.6,81.06,84.55,68.53
2024-01-10,89,147,20294,617,761,157259.9,0.6054,228.02,138.05,0.8108,254.88,206.65,74.67,89.46,66.8
2024-01-11,110,147,26359,685,761,179638.6,0.7483,239.63,179.31,0.9001,262.25,236.06,83.14,91.37,75.96
2024-01-12,96,147,14210,465,761,92919.3,0.6531,148.02,96.67,0.611,199.83,122.1,106.89,74.07,79.17
2024-01-13,112,147,18755,495,761,108404.8,0.7619,167.46,127.59,0.6505,219.0,142.45,117.13,76.47,89.57
2024-01-14,116,147,20320,501,761,111804.4,0.7891,175.17,138.23,0.6583,223.16,146.92,119.87,78.5,94.09
2024-01-15,118,147,21035,513,761,111461.8,0.8027,178.26,143.1,0.6741,217.27,146.47,119.08,82.05,97.7
2024-01-16,111,147,18586,513,761,110080.3,0.7551,167.44,126.44,0.6741,214.58,144.65,112.02,78.03,87.41
2024-01-17,102,147,30894,686,761,177403.2,0.6939,302.88,210.16,0.9014,258.61,233.12,76.98,117.12,90.15
