feature,adr,occupancy,revenue
avg_booked_rate,94036087.05266571,6.40035235641335,2355529286326.0
total_rooms_on_books,1728493.0743484497,94.01588276322582,429430267648.0
adr_lag_7d,11899766.356643677,0.40061413985677063,220273147642.0
adr_lag_364d,401759.01626968384,0.271807811310282,22595914372.0
adr_roll_7d,1118130.8871078491,0.8297434736905416,20291495628.0
rev_lag_364d,563185.6236877441,0.25375704126781784,15770378868.0
adr_lag_28d,115827.70978546143,0.7986959726231362,15359342788.0
ooo_rooms,121831.56927108765,7.568006976682227,13973100950.0
pickup_7d,73259.84436035156,4.075261378107825,11164040570.0
week_of_year,591201.1604690552,0.14684954404947348,10704079030.0
rev_roll_7d,274173.6621322632,0.3403264744847547,9651492450.0
adr_lag_14d,2352410.8909111023,0.3356199504560209,9222864692.0
occ_roll_7d,38182.207763671875,5.057078207406448,7264624758.0
rev_lag_7d,353418.68350982666,0.8029436299439112,7004683472.0
pickup_21d,82986.3840713501,7.1972910769654845,6490804706.0
medallia_value_for_price,54872.21555709839,0.7989611009252258,5010012826.0
occ_roll_28d,58841.063049316406,0.9954778049723245,3498338748.0
medallia_likelihood_to_recommend,31696.25035095215,0.18950871902052313,3474256414.0
pickup_14d,82333.89776611328,11.294515588873765,3463199798.0
rev_lag_28d,42750.57516479492,0.7026673997752368,3375888140.0
days_from_last_holiday,130893.9807434082,0.7306758283521049,3141164388.0
month,101671.40924072266,0.05570348835317418,3061614216.0
pickup_60d,110878.99984741211,0.1997030801139772,3044082226.0
rev_lag_14d,17094.468578338623,1.3286030022863997,2983836466.0
occ_lag_7d,66649.84135055542,0.6442976341786562,2973956806.0
occ_lag_364d,27603.607147216797,0.5108722932018281,2561541234.0
temp_min_f,83198.10108947754,0.428493992832955,2408651784.0
rev_roll_28d,60045.65692138672,2.2332438474404626,2247485782.0
temp_mean_f,103970.1432132721,0.6307828585122479,2151948120.0
medallia_overall_satisfaction,74327.02100753784,0.23149969334190246,2041480648.0
available_rooms,4372.55863571167,6.931680550100282,1902303368.0
occ_lag_14d,68319.64734458923,0.6271978575314279,1734781524.0
days_to_next_holiday,181565.3035812378,0.6019288583893285,1630054944.0
medallia_hotel_cleanliness,71748.59055328369,3.5070199463516474,1476390842.0
windspeed_max_mph,40621.173654556274,0.5408157234778628,1453619088.0
adr_roll_28d,116701.22319030762,3.1575927661324386,1349825082.0
day_of_week,127974.38535308838,0.48945066489250166,1307227684.0
pickup_30d,133214.32824325562,0.27684530935948715,1294320058.0
medallia_sample_size,37080.549503326416,0.6098801811458543,1276736966.0
medallia_likelihood_to_return,27398.92209625244,0.18903847844921984,1110024046.0
temp_max_f,139750.68656921387,0.19187302063801326,948872668.0
retail_rate,22241.741245269775,0.5289807058288716,925890054.0
occ_lag_28d,19999.215114593506,0.8667164121434325,761178680.0
precipitation_in,3402.2665214538574,0.049929054599488154,282305620.0
quarter,19327.19921875,0.016414559446275234,241736000.0
is_weekend,210.33700561523438,0.008469220018014312,144127500.0
weathercode,908.975212097168,0.10478670778684318,47305300.0
had_precipitation,0.0,0.0,31001100.0
is_federal_holiday,0.0,0.0,0.0
had_snow,0.0,0.0,0.0
snowfall_in,0.0,0.0,0.0
