feature,adr,occupancy,revenue
avg_booked_rate,108625519.33513641,6.40035235641335,2355529286326.0
total_rooms_on_books,509457.3589439392,94.01588276322582,429430267648.0
adr_lag_7d,3210808.4358329773,0.40061413985677063,220273147642.0
adr_lag_364d,155643.36796569824,0.271807811310282,22595914372.0
adr_roll_7d,215351.74070167542,0.8297434736905416,20291495628.0
rev_lag_364d,199488.94540405273,0.25375704126781784,15770378868.0
adr_lag_28d,42094.460063934326,0.7986959726231362,15359342788.0
ooo_rooms,33514.319286346436,7.568006976682227,13973100950.0
pickup_7d,20529.152671813965,4.075261378107825,11164040570.0
week_of_year,49173.765787124634,0.14684954404947348,10704079030.0
rev_roll_7d,71340.968334198,0.3403264744847547,9651492450.0
adr_lag_14d,505940.6867866516,0.3356199504560209,9222864692.0
occ_roll_7d,43137.594440460205,5.057078207406448,7264624758.0
rev_lag_7d,158728.9328956604,0.8029436299439112,7004683472.0
pickup_21d,14974.113410949707,7.1972910769654845,6490804706.0
medallia_value_for_price,25720.172790527344,0.7989611009252258,5010012826.0
occ_roll_28d,15920.275688171387,0.9954778049723245,3498338748.0
medallia_likelihood_to_recommend,22604.866729736328,0.18950871902052313,3474256414.0
pickup_14d,13040.980192184448,11.294515588873765,3463199798.0
rev_lag_28d,13942.721885681152,0.7026673997752368,3375888140.0
days_from_last_holiday,73409.24326705933,0.7306758283521049,3141164388.0
month,6184.674140930176,0.05570348835317418,3061614216.0
pickup_60d,23546.43678665161,0.1997030801139772,3044082226.0
rev_lag_14d,16653.74906539917,1.3286030022863997,2983836466.0
occ_lag_7d,32835.4278049469,0.6442976341786562,2973956806.0
occ_lag_364d,26907.927127838135,0.5108722932018281,2561541234.0
temp_min_f,9631.398750305176,0.428493992832955,2408651784.0
rev_roll_28d,17364.410514831543,2.2332438474404626,2247485782.0
temp_mean_f,34054.88539123535,0.6307828585122479,2151948120.0
medallia_overall_satisfaction,80164.84490966797,0.23149969334190246,2041480648.0
available_rooms,9443.236038208008,6.931680550100282,1902303368.0
occ_lag_14d,17907.669815063477,0.6271978575314279,1734781524.0
days_to_next_holiday,32783.61388397217,0.6019288583893285,1630054944.0
medallia_hotel_cleanliness,33675.58805847168,3.5070199463516474,1476390842.0
windspeed_max_mph,22133.000228881836,0.5408157234778628,1453619088.0
adr_roll_28d,54623.130029678345,3.1575927661324386,1349825082.0
day_of_week,10142.58358001709,0.48945066489250166,1307227684.0
pickup_30d,48222.24193191528,0.27684530935948715,1294320058.0
medallia_sample_size,13553.386043548584,0.6098801811458543,1276736966.0
medallia_likelihood_to_return,4700.1769943237305,0.18903847844921984,1110024046.0
temp_max_f,3979.139877319336,0.19187302063801326,948872668.0
retail_rate,15045.47297668457,0.5289807058288716,925890054.0
occ_lag_28d,9814.139961242676,0.8667164121434325,761178680.0
precipitation_in,8007.226257324219,0.049929054599488154,282305620.0
quarter,0.0,0.016414559446275234,241736000.0
is_weekend,1092.7879791259766,0.008469220018014312,144127500.0
weathercode,326.44210052490234,0.10478670778684318,47305300.0
had_precipitation,0.0,0.0,31001100.0
ari_roll_28d,16120.076899528503,0.0,0.0
ari_lag_7d,13136.833778381348,0.0,0.0
ari_lag_28d,14211.770879745483,0.0,0.0
adr_gap_vs_comp_roll_28d,37967.83353424072,0.0,0.0
adr_gap_vs_comp_lag_7d,22760.95802307129,0.0,0.0
adr_gap_vs_comp_lag_28d,35875.09306335449,0.0,0.0
adr_gap_vs_comp_roll_7d,5626.083110809326,0.0,0.0
ari_roll_7d,16701.65874481201,0.0,0.0
mpi_roll_28d,7935.408653259277,0.0,0.0
mpi_roll_7d,79784.84551811218,0.0,0.0
comp_occ_roll_7d,69591.42812347412,0.0,0.0
comp_revpar_roll_28d,5788.835594177246,0.0,0.0
comp_revpar_lag_7d,68180.35581207275,0.0,0.0
comp_revpar_lag_28d,6739.577058792114,0.0,0.0
comp_revpar_roll_7d,139400.32986068726,0.0,0.0
comp_adr_lag_28d,10160.846221923828,0.0,0.0
comp_adr_roll_7d,154399.69967269897,0.0,0.0
mpi_lag_7d,24126.215633392334,0.0,0.0
mpi_lag_28d,27167.685722351074,0.0,0.0
is_federal_holiday,0.0,0.0,0.0
had_snow,0.0,0.0,0.0
comp_adr_lag_7d,383014.9256706238,0.0,0.0
comp_adr_roll_28d,36393.24211883545,0.0,0.0
comp_occ_roll_28d,179015.8715286255,0.0,0.0
comp_occ_lag_7d,5897.634735107422,0.0,0.0
comp_occ_lag_28d,22702.055995941162,0.0,0.0
rgi_lag_28d,9279.3090133667,0.0,0.0
rgi_roll_7d,18389.144996643066,0.0,0.0
rgi_roll_28d,62936.357944488525,0.0,0.0
rgi_lag_7d,15045.384368896484,0.0,0.0
snowfall_in,0.0,0.0,0.0
