feature,adr,occupancy,revenue
avg_booked_rate,92065492.64489365,3.797216296719853,2213014057884.0
total_rooms_on_books,2042969.1804962158,106.59226180700352,547831897094.0
adr_lag_7d,14572583.95691681,0.3521540288347751,217711034648.0
rev_lag_7d,25748.626747131348,0.6557102278766251,47624684338.0
adr_lag_364d,596413.8554229736,0.26750439942406956,35831568414.0
rev_lag_364d,356568.9108924866,0.25749518402153626,23801770520.0
rev_roll_7d,194395.19230651855,0.18209520465461537,16356285958.0
adr_roll_7d,302282.5032196045,1.085322814353276,12832752992.0
ooo_rooms,82418.0989189148,8.189028699125629,8644075024.0
adr_lag_14d,599151.9792251587,0.5149637190334033,7832453250.0
medallia_value_for_price,38831.81344604492,0.3482537977397442,6708737562.0
pickup_7d,28081.036979675293,3.0685303371574264,6161597542.0
pickup_60d,28671.901885986328,0.1715645905933343,5576091548.0
adr_lag_28d,128775.36833953857,0.622894965170417,5238749248.0
occ_roll_7d,124115.30783081055,3.8984985232164036,4835520234.0
pickup_21d,62583.0732421875,5.3987655494129285,4566215446.0
days_from_last_holiday,78492.47413635254,0.41390100424177945,4555053562.0
week_of_year,343150.9941558838,0.2781480026333156,4208445164.0
month,28021.629028320312,0.12373113888315856,3831286466.0
rev_lag_28d,18920.278129577637,0.8617674322667881,3809579082.0
adr_roll_28d,35525.18221282959,3.61045948494575,3339112598.0
occ_lag_7d,38300.758934020996,0.2720308815223689,2817623824.0
days_to_next_holiday,59063.59194946289,0.6252665458450792,2781035232.0
occ_roll_28d,32583.75299835205,0.6801485915348167,2765965342.0
occ_lag_14d,75697.61657714844,0.6391364584051189,2433132346.0
medallia_overall_satisfaction,63988.25047302246,0.08840013154258486,2133419356.0
temp_min_f,9027.672248840332,0.2857065381394932,2005104630.0
medallia_hotel_cleanliness,10504.097175598145,1.568318409335916,1738800114.0
rev_lag_14d,15540.027812957764,1.4112799591384828,1731238662.0
available_rooms,2414.571674346924,7.348053467925638,1711431176.0
rev_roll_28d,3024.424026489258,2.480041909555439,1659900180.0
windspeed_max_mph,26019.89472579956,0.3485594986123033,1644807446.0
occ_lag_364d,26636.279373168945,0.5168312341993442,1622773010.0
pickup_30d,20741.568923950195,0.36571970950171817,1468043915.0
pickup_14d,154211.8313446045,5.966597708145855,1428965766.0
medallia_likelihood_to_recommend,23780.280029296875,0.22293639852432534,1407704050.0
temp_max_f,54018.365505218506,0.2753493221971439,1332675052.0
temp_mean_f,37903.08805847168,0.49407873120799195,1278428568.0
occ_lag_28d,14810.36361694336,1.0198003997211345,1142191218.0
medallia_sample_size,16890.108589172363,0.39526613836642355,1137150696.0
retail_rate,91733.24284744263,0.6045449179910065,845698162.0
medallia_likelihood_to_return,33643.39205932617,0.267308370268438,745317998.0
day_of_week,58302.13121032715,0.34205277693399694,624419666.0
precipitation_in,1411.3008270263672,0.11677322574541904,372034360.0
is_mlb_game,15000.85221862793,0.0,280006364.0
is_mets_game,884.6690063476562,0.021091809845529497,239253400.0
is_yankees_game,504.3290100097656,0.0,215471400.0
is_weekend,130.92999267578125,0.0,86408396.0
is_msg_event,0.0,0.0,77635500.0
weathercode,300.1400146484375,0.06522124994080514,77474220.0
snowfall_in,0.0,0.0,12785740.0
is_knicks_game,123.83000183105469,0.009585320018231869,5467460.0
had_precipitation,0.0,0.0,5380850.0
is_rangers_game,105.28700256347656,0.0,4681860.0
is_major_event_day,1553.6099853515625,0.0,2635880.0
adr_gap_vs_comp_roll_28d,38806.62338256836,0.0,0.0
adr_gap_vs_comp_lag_7d,60908.59070587158,0.0,0.0
adr_gap_vs_comp_lag_28d,17815.686637878418,0.0,0.0
ari_lag_28d,16753.887447357178,0.0,0.0
adr_gap_vs_comp_roll_7d,11156.133186340332,0.0,0.0
ari_lag_7d,14755.741577148438,0.0,0.0
ari_roll_28d,40093.587226867676,0.0,0.0
ari_roll_7d,38566.57133483887,0.0,0.0
days_to_next_event,0.0,0.0,0.0
comp_revpar_roll_7d,444307.0581817627,0.0,0.0
comp_revpar_lag_7d,121587.98891448975,0.0,0.0
comp_revpar_roll_28d,21138.77116394043,0.0,0.0
comp_revpar_lag_28d,16670.806354522705,0.0,0.0
comp_occ_roll_7d,215941.22872924805,0.0,0.0
comp_occ_lag_7d,9006.075668334961,0.0,0.0
comp_occ_roll_28d,550776.1189498901,0.0,0.0
comp_adr_roll_28d,28490.709030151367,0.0,0.0
comp_adr_lag_7d,862363.4608535767,0.0,0.0
comp_occ_lag_28d,29971.05869293213,0.0,0.0
comp_adr_roll_7d,595994.6304702759,0.0,0.0
comp_adr_lag_28d,13902.06213760376,0.0,0.0
is_nhl_game,0.0,0.0,0.0
is_major_sports_event,0.0,0.0,0.0
had_snow,0.0,0.0,0.0
mpi_roll_7d,107409.68798065186,0.0,0.0
mpi_roll_28d,22672.26180267334,0.0,0.0
mpi_lag_7d,19211.227294921875,0.0,0.0
mpi_lag_28d,23452.99849319458,0.0,0.0
is_us_open_event,0.0,0.0,0.0
is_nba_game,1190.5439910888672,0.0,0.0
is_nets_game,0.0,0.0,0.0
event_count,0.0,0.0,0.0
is_major_concert,0.0,0.0,0.0
is_federal_holiday,0.0,0.0,0.0
is_barclays_event,77.63099670410156,0.0,0.0
quarter,0.0,0.005549110006541014,0.0
rgi_roll_7d,8145.178333282471,0.0,0.0
rgi_roll_28d,86572.9511680603,0.0,0.0
rgi_lag_7d,27458.959438323975,0.0,0.0
rgi_lag_28d,11630.352813720703,0.0,0.0
